"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYPLA2",0.57257601092896,7.31524359375,9.48280389967593,1.55124123443427e-16,3.5136849723417e-14,27.0934672911841
"KIAA0226",0.393281453551912,4.86549871875,9.48252779284655,1.55367022586538e-16,3.5136849723417e-14,27.0919365227799
"ZFAND5",0.508431163934429,5.813388453125,9.46904919915417,1.67697251034721e-16,3.75641842317776e-14,27.0172187219662
"TSEN54",0.556362504553733,6.65889690104167,9.44962085774131,1.87206176715078e-16,4.12825368366128e-14,26.9095504412591
"BAP1",1.06766181693989,6.6589468359375,9.44899272380905,1.87873328878602e-16,4.12825368366128e-14,26.9060700666492
"EFCAB14",0.409501288056203,5.62900234375,9.44710788741545,1.89889507488787e-16,4.12825368366128e-14,26.8956267720008
"MMS19",0.71436994535519,6.7624221875,9.4457846009863,1.91317879047228e-16,4.12825368366128e-14,26.8882950645628
"RAB1B",0.626320819672129,7.67748203125,9.43587313225406,2.02362559595732e-16,4.32687945608329e-14,26.8333858788122
"SMG8",0.759480464480874,7.058331484375,9.41558975956064,2.26985646501193e-16,4.80964180694419e-14,26.7210477335888
"NKIRAS2",0.776121502732237,6.511946640625,9.40470750970408,2.41404749725111e-16,5.06949974422733e-14,26.6607944409189
"TP53",1.06311461748634,4.746321953125,9.40185727896751,2.45329916558974e-16,5.10633596236025e-14,26.6450151823633
"PACS2",0.546822807377047,6.70399923828125,9.3733619369514,2.88244139875623e-16,5.94693172796022e-14,26.4873076413439
"KIAA2013 /// LOC102724984",0.740070464480875,8.377506328125,9.3631325373184,3.0541059870624e-16,6.24631067962675e-14,26.4307138152304
"EFNB3",0.713710532786884,5.7582003515625,9.35313820167964,3.23166105141758e-16,6.55247137321909e-14,26.375431209785
"FOXK2",0.425058454332552,4.91671098214286,9.34671778586094,3.35111333294809e-16,6.73659705905462e-14,26.3399229939066
"OS9",0.89989726775956,8.90743125,9.34146310175834,3.45214421292079e-16,6.88088405829635e-14,26.3108651709518
"CST3",0.90251780510018,7.089106171875,9.33170654926262,3.64785088647006e-16,7.20986998737612e-14,26.25692041523
"PTPN6",1.15464568306011,7.38608,9.31464223267071,4.01709413017762e-16,7.87350449514813e-14,26.162595321859
"RP11-440L14.3",0.725186967213113,4.531408828125,9.28776850409274,4.6755311105382e-16,9.03572847408366e-14,26.0141124406909
"SMYD5",0.810409699453551,5.712315078125,9.28733839819436,4.6868999738019e-16,9.03572847408366e-14,26.0117366692158
"CYTH4",0.700534963570128,5.28783127604167,9.28544853211271,4.73718160478952e-16,9.05841555647557e-14,26.0012978806359
"TRIM41",0.642031584699453,6.8516596875,9.27975246994294,4.8920055691589e-16,9.27902991827559e-14,25.9698377588715
"CTNND1 /// TMX2-CTNND1",0.760713668032784,7.67445771484375,9.27060246734855,5.15133449428172e-16,9.69275098444048e-14,25.9193086896159
"FLOT2",0.801374002732238,5.9506954296875,9.24350733328755,6.00239196507968e-16,1.11218833021386e-13,25.7697368847833
"RASSF7",0.734805614754097,7.9479291015625,9.2434173848906,6.00543868780443e-16,1.11218833021386e-13,25.7692404872413
"USF2",0.698152340619306,8.32346533854167,9.23422383007748,6.32510952289308e-16,1.1622388748316e-13,25.7185090007781
"TIE1",0.750525068306009,4.2302425390625,9.23137030285341,6.4277365125486e-16,1.17194079670653e-13,25.7027647721337
